序號	Band	BW	ARFCN	測試類型	iPerf方向	測試秒數	設定開始時間	設定完成時間	UE連線狀態	PHY DL Mbps	PHY UL Mbps	iPerf平均 Mbps	iPerf最低 Mbps	iPerf最高 Mbps	傳輸量 MB	Download 平均 Mbps	Download 最低 Mbps	Download 最高 Mbps	Download 傳輸量 MB	Upload 平均 Mbps	Upload 最低 Mbps	Upload 最高 Mbps	Upload 傳輸量 MB	結果	錯誤原因
28	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T13:55:48+08:00	2026-08-05T14:01:25+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
29	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T14:01:51+08:00	2026-08-05T14:07:29+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
30	3A	20	1575	PHY			2026-08-05T14:07:57+08:00	2026-08-05T14:13:41+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
31	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T14:14:08+08:00	2026-08-05T14:19:47+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
32	1A-3A	20+20	300+1575	PHY			2026-08-05T14:20:14+08:00	2026-08-05T14:25:55+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
33	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T14:26:23+08:00	2026-08-05T14:32:02+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
34	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T14:32:32+08:00	2026-08-05T14:38:13+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
35	3A	20	1575	PHY			2026-08-05T14:38:44+08:00	2026-08-05T14:44:21+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
36	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T14:44:52+08:00	2026-08-05T14:50:36+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
37	1A-3A	20+20	300+1575	PHY			2026-08-05T14:51:04+08:00	2026-08-05T14:56:46+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
38	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T14:57:15+08:00	2026-08-05T15:02:55+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
39	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T15:03:27+08:00	2026-08-05T15:09:08+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
40	3A	20	1575	PHY			2026-08-05T15:09:41+08:00	2026-08-05T15:15:23+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
41	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T15:15:50+08:00	2026-08-05T15:21:32+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
42	1A-3A	20+20	300+1575	PHY			2026-08-05T15:22:03+08:00	2026-08-05T15:27:41+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
43	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T15:28:12+08:00	2026-08-05T15:33:56+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
44	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T15:34:28+08:00	2026-08-05T15:40:08+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
45	3A	20	1575	PHY			2026-08-05T15:40:41+08:00	2026-08-05T15:46:38+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
46	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T15:47:08+08:00	2026-08-05T15:52:48+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
47	1A-3A	20+20	300+1575	PHY			2026-08-05T15:53:17+08:00	2026-08-05T15:59:00+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
48	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T15:59:31+08:00	2026-08-05T16:05:12+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
49	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T16:05:44+08:00	2026-08-05T16:11:27+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
50	3A	20	1575	PHY			2026-08-05T16:11:55+08:00	2026-08-05T16:17:36+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
